helpfulCounts,ratings,reviewText
"2218","5","This really is the best carrot cake in the world. I changed 3 things: reg. milk + 1 teaspooon lemon juice in place of buttermilk as I was out of it. 1/8 teaspoon nutmeg was added and also I covered my raisins with orange juice and brought them to a boil, letting them simmer for a couple of minutes. Took them off the heat and let cool. Drained them and added when prompted by recipe. Baked in 3 (9') Cushionaire pans for 25 to 28 minutes. Frosted with 16 oz. cream cheese, 1 stick butter, 1 teaspoon each of almond and vanilla extracts and 32 oz. powdered sugar sifted. I had a carrot cake fan taste this and he said it was the best he's ever eaten. It is! Thank you Brian for this recipe."
"1210","5","My daughter and I tried 5 different carrot cake recipes to find one suitably delicious for a wedding cake and settled on this one. Even though this site says that the 'Best Carrot Cake Ever' is the best, this recipe won out over it as we had a family and friends 'taste-off' before we made our final selection. It by far had the most flavor. Not too moist, not too crumbly. At the reception, person after person raved over the cake and asked for the recipe. We had very little left. Just enough so that we could enjoy some the next day. We did make a few minor changes. We omitted the coconut, walnuts and raisins. And increased the carrots to 3 cups."
"1133","5","Bravo,this is a wonderful recipie...I took a hint from a Gourmet magazine recipie and added grated rind of a lemon. In addition, I made the cream cheese icing with grated lemon rind and lemon juice..this cut the sweetness of the cake and gave it a glorious citrus flavour!!!!!!!!!"
"703","5","Modestly, I must rate this the best carrot cake ever since Sam was my grandfather. I wanted to post a public message thanking all those who have reviewed this recipe and gave it such high marks. I hope you all continue to enjoy it!"
"455","5","I made this carrot cake because it had everything (coconut, walnuts, pineapple, and raisins) plus buttermilk. The only change I made was to put it into two round cake pans. If you do this reduce the cooking time by 15 minutes. I topped the cake with 'whipped cream cream cheese frosting' from this site which is a great cream cheese frosting because it is not too sweet and went great with this cake. I will make this cake again!"
"340","5","This is AMAZING! So Moist and filling and the flavour even develops more beatifully over the days. I First made this for mothers day and my mother claims this IS the BEST carrot cake ever tasted. Family has requested it again and again and also makes a lovely morning tea snack as it is quite an enormous cake to get through! Only thing I did first time was omit the raisins (personal preference) and divide mixture into 3 pans for a 3 layer cake used with 'cream cheese frosting II' from this site. Second time around I halved the ingredients and still made a wonderful 2 layer cake. My only suggestion is to use your food processor throughout various stages to cut down on time and convenience which then makes this quite a quick cake to prepare. This is definately going to become a 'secret' family heirloom for me as well. Thank you Brian for sharing!"
"266","5","This cake is FANTASTIC!! Omitted the raisins, baked it in a 13X9 pan for 45 minutes, and topped it off with a thick layer of cream cheese frosting. This is the only carrot cake recipe I'll use from now on. My husband's favorite!"
"186","5","I chose this recipe because the fat content was lower than some of the other carrot cake recipes. I reduced the oil to 1/4 C., split the flour to 1 cup white, 1 cup whole wheat, used 3 cups carrots, 3/4 cup coconut, 3/4 cup half walnuts, half pecans and left out the raisins(don't like them). This reduced the fat even more, and it was an incredible cake! Thanks for this recipe."
"182","5","Oh my goodness !!!! This was the ultimate best carrot cake I have ever had...and my guests agreed. As others recommended, I used Cream Cheese Frosting II. It was equally delicious. I used two 9 inch cake pans. The cook time was approx. 45 minutes at recommended temperature. I sprinkled cake with crushed & whole pecans. This was a very tasty & attractive way to serve the cake. It really dressed it up. Will continue to make this cake over & over again. However, next time I would like to try a more healthy version utilizing apple sauce verses vegetable oil. I'll let you know how it turns out..."
"132","5","We were having a taste off of Carrot cakes and so far this seems to be the winner. Pat's Award Winning is coming in a close second. Cream cheese frosting is a better compliment to this cake because it is not as sweet as Pat's. I think this is going to be my wedding cake. It is really good."
"86","1","I have to say that I was very disappointed with this recipe. After reading all the great reviews I thought this would be great, but then nearly everyone who gave 4+ stars modified the recipe in some way. I followed the recipe exactly and got a dense and moist, yet bland, unsweet, oily cake which tasted nothing like any of the carrot cakes I've ever had. I also thought the cake had too much going on in it. Bits of crunchy carrot shavings here (even though I shredded them super fine with my food processor), pineapple bits there, and an occasional raisin. The first thing my fiance, who loves carrot cake, said when he saw the cake was, 'that does not look like a carrot cake,' and he is right. It is a very dark and un-carrot cake like color, more like rye bread. My biggest regret is that I wasted a can of perfectly delicious whipped cream cheese frosting and a half pound of walnuts for the topping."
"66","5","It's too funny that this recipe is out here under Sam's Famous Recipe. My name is Sam also and I got almost the same recipe from my mom almost 20 years ago and started making it. I am known throughout the World's Largest and BEST Aircraft Manufacturing Company for this recipe and even brought it in one day to have it put on a company plane for a delivery to a old coworker that was craving a piece of it. Love ya Ira! Only difference between this cake and mine are the following three changes. 1) Drop the raisins (never liked them anyway) 2) I use a total of 2 cups Sugar 3) I cook it for a total of 50 minutes in glass pans or 55 minutes in metal.  Use either a cream cheese frosting or... look at the buttermilk glaze on the other recipes here."
"60","5","Oh my this cake is delicious! The best carrot cake recipe I have ever come across, and I have come across many =] Some carrot cakes are too oily, but not this one. And there is just enough of everything, so that no one ingredient over powers the others. I did follow another reviewer's comments, and I plumped my raisins in orange juice before adding. I also used 1/8 tsp of nutmeg because I prefer a hint of spice. As for the walnuts, I processed mine, as I don't go for the big bite of walnuts--my personal preference. I made this into a 3-layer cake--there was plenty of batter for it, and I frosted it with the 'cream cheese frosting II' recipe on this site. What a splendid cake. I will use this recipe from now on."
"55","5","Okay, I've baked this cake over 20 times and so I consider myself an expert on this recipe. (I always mentally thank 'Grampa Sam' every time I bake it.)  First of all, to 'clwguy,' who gave this recipe a 1-star rating: YES, LEAVING OUT THE PINEAPPLE WILL MAKE A HUGE DIFFERENCE IN THE RESULT! You can omit other ingredients (I myself forgot to add the coconut last month) and still have a great cake, but *not* the pineapple.  Before baking this cake the first time, and even since, I've read through dozens of reviews of this recipe. Here's my advice, based on what I've read, plus my own experience:  1. CUT THE CINNAMON BY HALF, as others have suggested. (Adding a little nutmeg and/or allspice is a great idea.) 2. PECANS ARE PREFERABLE TO WALNUTS, which can often impart a bitter taste. Pecans are naturally sweet, and work much better in this recipe. 3. Consider OMITTING THE RAISINS. Lots of folks just don't like raisins, and in any case I believe they overwhelm the other ingredients. (I've left out the raisins for several years now, and all my friends are crazy about this cake.) 4. DON'T USE YOUR FOOD PROCESSOR to slice the carrots; they'll end up too long and stringy. Grate by hand -- it's worth it! 5. DIVIDE THE BATTER INTO TWO PANS, and test the loaves after 35 minutes. (One hour is way too long for this cake, and would account for a couple of the negative reviews I've read.)  6. Suggestion: try the 'WHIPPED CREAM CREAM CHEESE FROSTING' on this site. Scrumptious!"
"54","4","This is delicious, but it needed a touch more salt. I made 12 cupcakes plus 1 8x8x2 pan with just a single recipe. The cupcakes, without the frosting, tasted a touch bland. I think 1/2 tsp salt total would do the trick. The cake with the frosting was delicious! (Bake the cupcakes for 30 minutes at 350 deg, and the cake for 45-50 minutes, and give it the toothpick test). I will definitely make this again."
"48","5","Brian, I hope you're not tired of rave reviews! As an experienced cook who can spot a recipe's potential at a glance, I just knew I had to try this cake. Depending on where you're from, a carrot cake with pineapple & coconut is considered traditional. For others, just raisins and nuts. I made it as written and was floored. Cake was extremely moist, flavor was well balanced and the sweetness was perfect. I promised my family I would make this often during the fall season and for every holiday from now on. I had to divide the last piece into 4 small slivers so my family wouldn't fight over it and even then they were measured with a critical eye and a hearty debate over which was bigger. My teenage sons actually hugged me over this cake - enough said. Something tells me this recipe brought smiles to the faces of Sam's family and friends at the mere mention of it. Great legacy!"
"46","5","The first time I made this recipe I followed it exactly. I got rave reviews for it. The second time I made this cake I made some adjustments:  -I used dried cranberries instead of raisins. The tartness of the cranberries really complimented how sweet this cake is. I added double vanilla, double cinnamon, a pinch of clove and and pinch of nutmeg.  The second cake was made for an office party and everyone went crazy over it! The second cake had more enthusiastic feedback. Also, this cake is significantly better the next day."
"44","5","This recipe is amazing! I am vegan and allergic to wheat, so finding the perfect carrot cake, or any cake recipe, is a bit of a challenge and I always have to modify them. I did have to make some changes to this, obviously, but I wanted to put it out there that this recipe translates well to being vegan and wheat-free. I used spelt flour plus a pinch of xanthan gum instead of wheat flour (spelt doesn't bother me), Ener-G egg replacer in place of the eggs, almond milk with a little lemon juice to replace the buttermilk and applesauce to replace the oil. I also added a little bit more carrot and a little ground ginger. I used golden raisins. It was PERFECT...wonderfully moist and chock full of stuff. I made the Cream Cheese Icing II recipe on here, using vegan cream cheese, and mixed some more shredded coconut into the icing. Vegans and those with wheat allergies, rejoice, this is a carrot cake that you can easily adapt to your dietary needs!"
"31","5","I have made this so many times and become famous for it!! I replace the oil with applesauce except for 1/8 cup and it makes it lower in fat. It is still SO moist!"
"26","5","Shame on you Sam! You have just dethroned my Mom's very famous, award winning recipe for carrot cake. Her last one sold for $75 at a charity auction but no more. I couldn't find her recipe so looked up a new one, yours, and took the risk of showing up with it at a family function. The unanimous decision was that this was a better cake. My husband said that it brought tears to his eyes it was so perfect. Bingo ...Jackpot ...We have a winner extrodinaire!"
"26","4","I omitted the raisins, but it still tasted too fruity for my taste (not a knock against the recipe at all- just my preference). Next time, I will omit the coconut but keep the pineapple because it makes the cake very moist. However, I will puree the crushed pineapple for a more consistant texture. Per reviewer(s) advice, I used 2 cups of sugar (instead of 1 1/2) and added 1/4 tsp of allspice and 1/4 tsp of nutmeg."
